FULL_NAME,CONSTITUENCY,POLITICAL_PARTY,VOTE
Saney  Ibrahim Abdi, WAJIR NORTH, UDA , ABSENT
Abdi  Khamis Chome, VOI, WIPER , ABSENT
Wambilianga Catherine Nanjala, BUNGOMA COUNTY, FORDK , ABSENT
Nyamita  Mark Ogolla, URIRI, ODM , ABSENT
Shollei  Gladys Jepkosgei Boss, UASIN GISHU, UDA , ABSENT
Namoit  John Ariko, TURKANA SOUTH, ODM , ABSENT
Naibun  Paul Ekwom, TURKANA NORTH, ODM , ABSENT
Double N  Pamela Njoki Njeru, EMBU COUNTY, UDA , ABSENT
Murugara  George Gitonga, THARAKA, UDA , ABSENT
Barre  Hussein Abdi, TARBAJ, UDA , ABSENT
Osogo  Bensuda Joyce Atieno, HOMA BAY COUNTY, ODM , ABSENT
Kiplagat  David, SOY, UDA , ABSENT
Bonaya  Mumina Gollo, ISIOLO COUNTY, JUBILEE , ABSENT
Karemba  Eric Muchangi Njiru, RUNYENJES, UDA , ABSENT
Abuor  Paul, RONGO, ODM , ABSENT
Amollo  Paul Otiende, RARIEDA, ODM , ABSENT
Manduku  Daniel, NYARIBARI MASABA, ODM , ABSENT
Jhanda Zaheer, NYARIBARI CHACHE, UDA , ABSENT
Muratha  Anne Wanjiku Mugo, KIAMBU COUNTY, UDA , ABSENT
Mohamed  Mohamed Ali, NYALI, UDA , ABSENT
Guyo  Adhe Wario, NORTH HORR, KANU , ABSENT
Kasalu  Irene Muthoni, KITUI COUNTY, WIPER , ABSENT
Masito  Fatuma Hamisi, KWALE COUNTY, ODM , ABSENT
Kagiri  Jane Wangechi, LAIKIPIA COUNTY, UDA , ABSENT
Marubu Monicah Muthoni, LAMU COUNTY, IND , ABSENT
Kiamba  Suzanne Ndunge, MAKUENI, WIPER , ABSENT
Gachagua  George N., NDARAGWA, UDA , ABSENT
Wangwe  Emmanuel, NAVAKHOLO, ODM , ABSENT
Nzengu  Paul Musyimi, MWINGI NORTH, WIPER , ABSENT
Musau  Vincent Musyoka, MWALA, UDAC, ABSENT
Naicca  Johnson Manya, MUMIAS WEST, ODM , ABSENT
Salasya Peter Kalerwa, MUMIAS EAST, DAPK , ABSENT
Kirwa  Abraham Kipsang, MOSOP, UDA , ABSENT
Muge  Cynthia Jepkosgei, NANDI COUNTY, UDA , ABSENT
King'ola Patrick Makau, MAVOKO, WIPER , ABSENT
Mule  Stephen Mutinda, MATUNGULU, WIPER , ABSENT
Nabulindo  Peter Oscar, MATUNGU, ODM , ABSENT
Tandaza Kassim Sawa, MATUGA, ANC , ABSENT
Njoroge  Mary Wamaua Waithira, MARAGWA, UDA , ABSENT
Yussuf  Adan Haji, MANDERA WEST, UDM , ABSENT
Mayaka  Irene Nyakerario, NOMINATED, ODM , ABSENT
Mohamed  Umulkher Harun, NOMINATED, ODM , ABSENT
Ng'ongo  John Mbadi, NOMINATED, ODM , ABSENT
Omwera  George Aladwa, MAKADARA, ODM , ABSENT
Kombe  Harrison Garama, MAGARINI, ODM , ABSENT
Mukhwana  Titus Khamala, LURAMBI, ODM , ABSENT
Khodhe  Phelix Odiwuor, LANGATA, ODM , ABSENT
Muiruri  Muthama Stanley, LAMU WEST, JUBILEE , ABSENT
Obo  Ruweida Mohamed, LAMU EAST, JUBILEE , ABSENT
Lekuton  Joseph, LAISAMIS, UDM , ABSENT
Korere  Sarah Paulata, LAIKIPIA NORTH, JUBILEE , ABSENT
Mohamed  Abdikadir Hussein, LAGDERA, ODM , ABSENT
Mbai  Nimrod Mbithuka, KITUI EAST, UDA , ABSENT
Gitari  Joseph Gachoki, KIRINYAGA CENTRAL, UDA , ABSENT
Mutuse  Mwengi, KIBWEZI WEST, MCCP , ABSENT
Wangaya  Christopher Aseka, KHWISERO, ODM , ABSENT
Rutto  Julius Kipletting, KESSES, UDA , ABSENT
Karauri Ronald Kamwiko, KASARANI, IND , ABSENT
Sudi  Oscar Kipchumba, KAPSERET, UDA , ABSENT
Muli Fabian Kyule, KANGUNDO, GDDP , ABSENT
Kihungi  Peter Irungu, KANGEMA, UDA , ABSENT
Risa  Sunkuiya George, KAJIADO WEST, UDA , ABSENT
Sakimba  Parashina Samuel, KAJIADO SOUTH, ODM , ABSENT
Hamisi  Kakuta Maimai, KAJIADO EAST, ODM , ABSENT
Titus  Lotee, KACHELIBA, KUP , ABSENT
Kalasinga Joseph Simiyu Wekesa Majimbo, KABUCHAI, FORDK , ABSENT
Obara  Eve Akinyi, KABONDO KASIPUL, ODM , ABSENT
Lomwa  Joseph Samal, ISOLO NORTH, JUBILEE , ABSENT
Tubi  Bidu Mohamed, ISIOLO SOUTH, JUBILEE , ABSENT
Gimose Charles Gumini, HAMISI, ANC , ABSENT
Kururia Elijah Njore Njoroge, GATUNDU NORTH, IND , ABSENT
Muriu  Wakili Edward, GATANGA, UDA , ABSENT
Barrow  Dekow Mohamed, GARISSA TOWNSHIP, UDA , ABSENT
Siyad  Amina Udgoon, GARISSA, JUBILEE , ABSENT
Hiribae  Said Buya, GALOLE, ODM , ABSENT
Oundo  Wilberforce Ojiambo, FUNYULA, ODM , ABSENT
Ongili  Babu Owino Paul, EMBAKASI EAST, ODM , ABSENT
Maalim  Farah, DADAAB, WIPER , ABSENT
Koech Victor Kipngetich, CHEPALUNGU, CCM , ABSENT
Oyula  Joseph H. Maero, BUTULA, ODM , ABSENT
Mwale  Nicholas S. Tindi, BUTERE, ODM , ABSENT
Ogolla  Gideon Ochanda, BONDO, ODM , ABSENT
Momanyi  Innocent Obiri, BOMACHOGE BORABU, WIPER , ABSENT
Shurie  Abdi Omar, BALAMBALA, JUBILEE , ABSENT
Owino  John Walter, AWENDO, ODM , ABSENT
Jerusha Momanyi, NYAMIRA COUNTY, ABSENT , JUBILEE
Basil  Robert Ngui, YATTA, WIPER , NO
Mwakuwona  Danson Mwashako, WUNDANYI, WIPER , NO
Wetangula  Timothy Wanyonyi, WESTLANDS, ODM , NO
Farah  Yussuf Mohamed, WAJIR WEST, ODM , NO
Wandayi  James Opiyo, UGUNJA, ODM , NO
Murumba John Chikati, TONGAREN, FORDK , NO
Oku  Edward Kaunya, TESO NORTH, ODM , NO
Bwire  John Okano, TAVETA, WIPER , NO
Masara  Peter Francis, SUNA WEST, ODM , NO
Mohamed  Junet Sheikh Nuh, SUNA EAST, ODM , NO
Nyikal  James Wambura, SEME, ODM , NO
Lesuuda  Josephine Naisula, SAMBURU WEST, KANU , NO
Luyai  Caleb Amisi, SABOTI, ODM , NO
Gogo  Lilian Achieng, RANGWE, ODM , NO
Pkosing  David Losiakou, POKOT SOUTH, KUP , NO
Muhanda  Elsie Busihile, KAKAMEGA COUNTY, ODM , NO
Odege  Tom Mboya, NYATIKE, ODM , NO
Odoyo  Okello Jared, NYANDO, ODM , NO
Owuor  Joshua Aduma, NYAKACH, ODM , NO
Mwanyanje  Gertrude Mbeyu, KILIFI COUNTY, ODM , NO
Aburi  Donya Dorice, KISII COUNTY, WIPER , NO
Ruth Adhiambo Odinga, KISUMU COUNTY, ODM , NO
Kamene  Joyce, MACHAKOS COUNTY, WIPER , NO
Mumo  Rose Museo, MAKUENI COUNTY, WIPER , NO
Owino  Martin Peters Wuod Chief, NDHIWA, ODM , NO
Mohammed Fatuma Full Network, MIGORI COUNTY, IND , NO
Nguna  Charles Ngusya, MWINGI WEST, WIPER , NO
Mulyungi  Gideon Mutemi, MWINGI CENTRAL, WIPER , NO
Shake  Peter Mbogho, MWATATE, JUBILEE , NO
Machele  Mohamed Soud, MVITA, ODM , NO
Oyoo  James Onyango, MUHORONI, ODM , NO
Jaldesa  Guyo Waqo, MOYALE, UPIA , NO
Chimba  Zamzam Mohamed, MOMBASA, ODM , NO
Nzioka  Erastus Kivasu, MBOONI, WIPER , NO
Ruku Geoffrey Kariuki Kiringa, MBEERE NORTH, DP , NO
Oluoch  Anthony Tom, MATHARE, ODM , NO
Odanga  Geoffrey Makokha, MATAYOS, ODM , NO
Abdirahman  Hussein Weytan, MANDERA EAST, ODM , NO
Nabii  Nabwera Daraja, LUGARI, ODM , NO
Oyugi Dick Maungu, LUANDA, DAPK , NO
Mugabe  Innocent Mainoo, LIKUYANI, ODM , NO
Mboko  Mishi Juma Khamisi, LIKONI, ODM , NO
Gisairo  Clive Ombane, KITUTU MASABA, ODM , NO
Kibagendi  Antoney, KITUTU CHACHE SOUTH, ODM , NO
Nyenze  Edith Vethi, KITUI WEST, WIPER , NO
Mboni  David Mwalika, KITUI RURAL, WIPER , NO
Ahmed Shakeel Ahmed Shabbir, KISUMU EAST, IND , NO
Oron  Joshua Odongo, KISUMU CENTRAL, ODM , NO
Bedzimba  Rashid Juma, KISAUNI, ODM , NO
Bisau Maurice Kakai, KIMININI, DAPK , NO
Nzambia  Thudeeus Kithua, KILOME, WIPER , NO
Kiti  Richard Ken Chonga, KILIFI SOUTH, ODM , NO
Sunkuli  Julius Lekakeny Ole, KILGORIS, KANU , NO
Mbalu  Jessica Nduku Kiko, KIBWEZI EAST, WIPER , NO
Orero  Peter Ochieng, KIBRA, ODM , NO
Mbui  Robert, KATHIANI, WIPER , NO
Were  Sir Charles Ong'ondo, KASIPUL, ODM , NO
Okuome  Andrew Adipo, KARACHUONYO, ODM , NO
Katana  Paul Kahindi, KALOLENI, ODM , NO
Kanchory  Elijah Memusi, KAJIADO CENTRAL, ODM , NO
Kimilu  Joshua Kivinda, KAITI, WIPER , NO
Bady  Bady Twalib, JOMVU, ODM , NO
Oduor  Christine Ombaka, SIAYA COUNTY, ODM , NO
Shinali  Bernard Masaka, IKOLOMANI, ODM , NO
Kaluma  George Peter Opondo, HOMA BAY TOWN, ODM , NO
Wamuchomba  Gathoni, GITHUNGURI, UDA , NO
Guyo  Ali Wario, GARSEN, ODM , NO
Omboko Milemba Jeremiah, EMUHAYA, ANC , NO
Mwenje  Mark Muriithi, EMBAKASI WEST, JUBILEE , NO
Mawathe  Julius Musili, EMBAKASI SOUTH, WIPER , NO
Elachi  Beatrice, DAGORETTI NORTH, ODM , NO
Baraza Patrick Simiyu, CHERANGANY, DAPK , NO
Shimbwa  Omar Mwinyi, CHANGAMWE, ODM , NO
Wamboka Nelson Jack, BUMULA, DAPK , NO
Wanjala  Raphael Sauti Bitta, BUDALANGI, ODM , NO
Osero  Patrick Kibagendi, BORABU, ODM , NO
Onchoke Charles, BONCHARI, UPA , NO
Jehow  Fatuma Abdi, WAJIR COUNTY, ODM , NO
Barongo  Nolfason Obadiah, BOMACHOGE BORABU, ODM , NO
Samuel Onunga Atan Meli, ALEGO USONGA, ODM , NO
Omanyo  Catherine Nakhabi, BUSIA COUNTY, ODM , SUSPENDED
